"distrito","codigo_sie","unidad_educativa","x","y","estado","nivel_educativo","luz_electrica","agua_potable","alcantarillado","pozo_septico","baños","lava_manos","internet","laboratorios","sala_computacion","turno","nombre_mañana","nombre_tarde","nombre_noche","pob","pob_mañana","pob_tarde","pob_noche"
"D-1","40730001","12 DE OCTUBRE MAÑANA","589300.575233","8174147.20631","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","Sí","No","Sí","Mañana","12 DE OCTUBRE MAÑANA","NA","NA","902","902","NA","NA"
"D-1","40730002","12 DE OCTUBRE TARDE","589300.575233","8174147.20631","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","12 DE OCTUBRE TARDE","NA","728","NA","728","NA"
"D-1","40730037","30","588891.986769","8174304.90877","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","ANDRES BELLO MAÑANA","NA","NA","582","582","NA","NA"
"D-1","40730038","ANDRES BELLO TARDE","588891.986769","8174304.90877","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","ANDRES BELLO TARDE","NA","338","NA","338","NA"
"D-1","40730039","JUAN CAPRILES TARDE","589697.681073","8174877.95368","Bueno","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","JUAN CAPRILES TARDE","NA","741","NA","741","NA"
"D-1","40730040","JUAN CAPRILES MAÑANA","589697.681073","8174877.95368","Bueno","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","JUAN CAPRILES MAÑANA","NA","NA","431","431","NA","NA"
"D-1","40730042","6 DE JUNIO A","NA","NA","Regular","P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Noche","NA","NA","6 DE JUNIO A","43","NA","NA","43"
"D-1","40730043","EVA PERON","589665.70422","8174527.14784","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","EVA PERON","NA","1007","NA","1007","NA"
"D-1","40730044","TARAPACA","589665.70422","8174527.14784","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","TARAPACA","NA","NA","1361","1361","NA","NA"
"D-1","40730045","6 DE JUNIO B","NA","NA","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Noche","NA","NA","6 DE JUNIO B","274","NA","NA","274"
"D-1","40730028","SANTIAGO I","589156.079459","8172828.7045","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","SANTIAGO I","NA","NA","748","748","NA","NA"
"D-1","40730029","BRASILIA TARDE","589676.9062","8173503.97198","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","BRASILIA TARDE","NA","322","NA","322","NA"
